Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2-Dec-21,1715.00,1750.50,1711.35,1714.90,1748.00,1748.25,1737.73,1848.00,1105.05,5559574.00,9661020145.95,173258.00
1-Dec-21,1715.00,1741.90,1713.00,1712.65,1717.00,1714.90,1726.72,1848.00,1105.05,5193264.00,8967308949.60,204083.00
30-Nov-21,1704.55,1729.90,1700.05,1696.35,1717.00,1712.65,1713.80,1848.00,1105.05,14808963.00,25379600677.05,209403.00
29-Nov-21,1691.00,1712.00,1669.15,1691.65,1696.20,1696.35,1694.69,1848.00,1105.05,3942776.00,6681771091.15,187081.00
26-Nov-21,1702.55,1718.35,1684.00,1722.40,1689.55,1691.65,1701.47,1848.00,1091.00,4494181.00,7646702666.25,189716.00
25-Nov-21,1700.00,1726.20,1696.95,1696.00,1722.50,1722.40,1715.34,1848.00,1091.00,4476260.00,7678310603.80,141756.00
24-Nov-21,1740.00,1740.50,1688.00,1736.90,1690.20,1696.00,1712.88,1848.00,1091.00,7333061.00,12560636398.70,261744.00
23-Nov-21,1735.10,1747.25,1710.00,1759.40,1727.50,1736.90,1732.65,1848.00,1091.00,8436160.00,14616871616.00,228363.00
22-Nov-21,1784.00,1785.40,1751.15,1779.40,1760.25,1759.40,1766.39,1848.00,1091.00,6621839.00,11696747300.55,170729.00
18-Nov-21,1781.60,1789.45,1759.00,1787.45,1774.00,1779.40,1773.94,1848.00,1091.00,4326924.00,7675682400.00,154647.00
17-Nov-21,1792.55,1802.00,1780.70,1792.30,1790.55,1787.45,1792.60,1848.00,1091.00,4732492.00,8483456713.50,195585.00
16-Nov-21,1790.00,1808.95,1777.00,1787.15,1791.40,1792.30,1797.43,1848.00,1091.00,6034233.00,10846091248.70,173120.00
15-Nov-21,1782.10,1800.00,1775.50,1780.20,1785.00,1787.15,1793.71,1848.00,1091.00,4354074.00,7809957008.85,154854.00
12-Nov-21,1743.00,1782.85,1738.05,1733.30,1779.50,1780.20,1766.51,1848.00,1078.00,5069009.00,8954436975.40,142273.00
11-Nov-21,1732.95,1739.75,1709.00,1740.15,1735.00,1733.30,1723.79,1848.00,1078.00,4731349.00,8155869538.30,128994.00
10-Nov-21,1726.00,1750.95,1721.95,1742.50,1742.00,1740.15,1737.49,1848.00,1078.00,4780368.00,8305852157.15,115801.00
9-Nov-21,1734.75,1750.00,1726.00,1737.50,1740.70,1742.50,1741.18,1848.00,1078.00,4016134.00,6992803829.65,141964.00
8-Nov-21,1730.00,1741.00,1703.00,1708.70,1740.00,1737.50,1727.82,1848.00,1078.00,5245903.00,9063983393.50,194006.00
4-Nov-21,1715.00,1717.00,1705.00,1702.50,1705.50,1708.70,1710.56,1848.00,1051.10,483407.00,826894810.30,45697.00
3-Nov-21,1709.00,1717.45,1699.00,1697.90,1703.60,1702.50,1707.08,1848.00,1051.10,3530713.00,6027214982.00,159185.00
2-Nov-21,1695.00,1706.45,1686.35,1700.05,1699.00,1697.90,1696.02,1848.00,1051.10,3471772.00,5888203296.25,132426.00
1-Nov-21,1677.50,1707.20,1676.00,1667.75,1701.35,1700.05,1695.58,1848.00,1051.10,3636806.00,6166483835.70,156714.00
29-Oct-21,1699.00,1712.60,1661.05,1703.90,1671.00,1667.75,1687.51,1848.00,1051.10,5875091.00,9914259072.90,212408.00
28-Oct-21,1719.35,1724.75,1692.05,1728.95,1705.85,1703.90,1710.08,1848.00,1051.10,5329972.00,9114701909.05,194339.00
27-Oct-21,1709.10,1734.15,1701.15,1703.70,1726.55,1728.95,1718.39,1848.00,1051.10,5090259.00,8747027004.70,174841.00
26-Oct-21,1710.05,1726.60,1695.90,1707.55,1707.95,1703.70,1704.53,1848.00,1051.10,5871709.00,10008498840.25,163478.00
25-Oct-21,1722.05,1729.75,1687.20,1719.80,1708.40,1707.55,1700.04,1848.00,1051.10,5905209.00,10039080678.05,175289.00
