Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
2-Dec-21,474.5,478.15,470.95,475.3,477.6,477,474.72,542.3,244.1,12962679,189218
1-Dec-21,464.45,477.25,464,460.55,475.9,475.3,470.57,542.3,244.1,17156956,192988
30-Nov-21,468,477.25,458,465.1,459.1,460.55,467.26,542.3,244.1,23026652,283930
29-Nov-21,470,477.75,454.3,470.5,466.2,465.1,467.79,542.3,244.1,22407465,310952
26-Nov-21,486.25,487.9,467.1,490.55,470,470.5,475.02,542.3,238.1,26305817,379366
25-Nov-21,490,495.45,486.3,493.15,492,490.55,491.77,542.3,238.1,12894211,160207
24-Nov-21,495.8,500,489.05,493.05,490,493.15,496.27,542.3,238.1,13963769,194560
23-Nov-21,485.25,495.4,480,486.4,492.8,493.05,490.18,542.3,238.1,20000371,232054
22-Nov-21,506,506,477.5,503.8,487,486.4,489.05,542.3,238.1,28800269,383770
18-Nov-21,499.1,506.2,492.3,498.15,503.35,503.8,500.73,542.3,231,22471070,276780
17-Nov-21,493.85,505.4,491,495.1,497.6,498.15,500.32,542.3,231,20488483,275972
16-Nov-21,507.4,507.4,493.5,506.55,494.25,495.1,499.96,542.3,231,19553216,292914
15-Nov-21,512.4,515.9,505.5,511.35,507.4,506.55,509.14,542.3,231,13328183,186098
12-Nov-21,512,513,502.7,509.6,510.95,511.35,509,542.3,217.05,19836221,259734
11-Nov-21,522.85,522.85,507.1,524.4,509.9,509.6,513.93,542.3,217.05,23086898,404691
10-Nov-21,525.55,528.5,521.5,529.15,523.7,524.4,524.92,542.3,217.05,15805538,233636
9-Nov-21,526.25,532,522.2,523.25,529,529.15,528.31,542.3,217.05,25451967,263483
8-Nov-21,534.45,534.45,516.45,530.45,523.6,523.25,524.29,542.3,217.05,36802110,434185
4-Nov-21,531.5,535.9,528.05,527.65,530.8,530.45,532.2,542.3,190.05,9796046,154034
3-Nov-21,524,542.3,515.2,521.7,530.9,527.65,529.74,542.3,190.05,80775924,664904
2-Nov-21,514.8,525,512.05,515.7,522,521.7,519.23,526.85,190.05,26797820,292700
1-Nov-21,508.5,516.95,501,502.15,515.3,515.7,509.46,526.85,190.05,20679604,232409
29-Oct-21,501.5,512.65,488.4,501.35,504,502.15,502.7,526.85,185.9,31355893,374125
28-Oct-21,519.6,520.55,497.6,519.15,503.7,501.35,508.7,526.85,185.9,28140401,260970
