Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2-Dec-21,3589.20,3648.00,3574.10,3577.80,3637.00,3642.90,3614.21,3989.90,2624.45,3152938.00,11395387802.95,146031.00
1-Dec-21,3535.00,3590.00,3535.00,3529.15,3581.00,3577.80,3568.53,3989.90,2624.45,2102118.00,7501467334.90,177235.00
30-Nov-21,3491.00,3563.75,3491.00,3502.00,3535.00,3529.15,3535.48,3989.90,2624.45,5588446.00,19757846113.05,208979.00
29-Nov-21,3447.15,3529.35,3406.45,3446.85,3503.50,3502.00,3490.28,3989.90,2624.45,2981745.00,10407130645.30,206893.00
26-Nov-21,3425.00,3490.00,3411.90,3445.90,3439.20,3446.85,3454.40,3989.90,2624.45,1941251.00,6705853480.80,156945.00
25-Nov-21,3443.90,3463.00,3434.05,3443.30,3450.00,3445.90,3451.54,3989.90,2624.45,1849619.00,6384030188.95,102359.00
24-Nov-21,3472.20,3493.05,3424.00,3464.25,3431.95,3443.30,3469.80,3989.90,2624.45,2161746.00,7500832834.10,163891.00
23-Nov-21,3445.00,3480.95,3407.80,3458.40,3472.00,3464.25,3455.05,3989.90,2624.45,2153461.00,7440308037.35,160137.00
22-Nov-21,3478.40,3515.95,3440.30,3475.70,3463.75,3458.40,3482.50,3989.90,2624.45,3167936.00,11032349106.20,169460.00
18-Nov-21,3515.15,3520.85,3451.60,3521.90,3471.95,3475.70,3478.49,3989.90,2607.05,2136598.00,7432143867.40,135284.00
17-Nov-21,3550.60,3562.85,3506.40,3556.40,3520.80,3521.90,3533.85,3989.90,2607.05,1632914.00,5770466506.80,126358.00
16-Nov-21,3569.00,3575.55,3542.00,3553.30,3548.00,3556.40,3560.79,3989.90,2607.05,2013204.00,7168605743.85,105284.00
15-Nov-21,3528.00,3569.60,3528.00,3526.05,3550.00,3553.30,3554.41,3989.90,2607.05,1809157.00,6430484084.55,113981.00
12-Nov-21,3506.00,3534.15,3485.70,3488.20,3524.00,3526.05,3509.52,3989.90,2607.05,1747259.00,6132048785.70,98323.00
11-Nov-21,3480.00,3510.05,3436.00,3484.30,3505.00,3488.20,3464.62,3989.90,2607.05,1284514.00,4450347031.55,98386.00
10-Nov-21,3498.00,3519.70,3480.20,3505.70,3484.95,3484.30,3494.09,3989.90,2607.05,1516489.00,5298754955.55,115924.00
9-Nov-21,3508.00,3535.00,3496.00,3502.75,3503.00,3505.70,3508.51,3989.90,2607.05,1782692.00,6254594395.95,90441.00
8-Nov-21,3548.00,3548.00,3481.20,3508.65,3506.00,3502.75,3503.30,3989.90,2607.05,2526082.00,8849622221.80,144893.00
4-Nov-21,3512.95,3513.25,3505.00,3492.25,3508.65,3508.65,3509.12,3989.90,2600.05,328991.00,1154468248.30,42244.00
3-Nov-21,3504.20,3519.90,3466.05,3484.20,3488.00,3492.25,3492.58,3989.90,2600.05,1537639.00,5370327266.85,98779.00
2-Nov-21,3494.00,3513.60,3469.75,3476.40,3484.00,3484.20,3490.81,3989.90,2600.05,3087414.00,10777567152.90,134659.00
1-Nov-21,3437.95,3487.00,3412.95,3397.75,3482.35,3476.40,3445.74,3989.90,2600.05,2020718.00,6962871688.90,154841.00
29-Oct-21,3400.05,3461.00,3385.95,3421.65,3404.00,3397.75,3424.21,3989.90,2600.05,3960501.00,13561601567.60,241935.00
28-Oct-21,3518.00,3518.00,3415.00,3489.75,3423.00,3421.65,3450.19,3989.90,2600.05,2424942.00,8366511722.10,187690.00
27-Oct-21,3483.00,3511.25,3483.00,3482.60,3488.45,3489.75,3495.53,3989.90,2600.05,2510813.00,8776620129.00,122328.00
26-Oct-21,3494.50,3529.00,3475.00,3492.95,3485.90,3482.60,3494.69,3989.90,2600.05,3878763.00,13555085104.10,155172.00
25-Oct-21,3503.00,3514.55,3450.00,3498.85,3491.00,3492.95,3477.23,3989.90,2600.05,2595594.00,9025471433.60,139684.00
22-Oct-21,3560.00,3561.60,3485.00,3532.50,3501.85,3498.85,3511.44,3989.90,2600.05,2691670.00,9451650099.45,163976.00
21-Oct-21,3604.10,3607.45,3511.25,3608.85,3532.85,3532.50,3546.27,3989.90,2600.05,4871211.00,17274650004.55,295349.00
20-Oct-21,3612.00,3630.00,3578.30,3634.15,3607.95,3608.85,3606.05,3989.90,2600.05,2933693.00,10579039337.05,175675.00
19-Oct-21,3669.00,3690.10,3625.20,3647.15,3634.45,3634.15,3661.85,3989.90,2600.05,3135441.00,11481500581.85,191609.00
18-Oct-21,3603.45,3652.70,3601.45,3611.45,3649.00,3647.15,3631.23,3989.90,2600.05,3590107.00,13036517799.15,213590.00
14-Oct-21,3625.00,3670.00,3608.20,3655.20,3614.80,3611.45,3626.77,3989.90,2600.05,6442299.00,23364720249.30,406019.00
13-Oct-21,3650.00,3675.45,3645.00,3652.85,3658.05,3655.20,3655.85,3989.90,2600.05,3545655.00,12962366655.15,228263.00
12-Oct-21,3706.00,3707.00,3630.60,3685.60,3656.20,3652.85,3658.54,3989.90,2600.05,5752877.00,21047120430.00,371571.00
11-Oct-21,3755.00,3757.50,3660.00,3935.65,3687.95,3685.60,3702.67,3989.90,2600.05,11845402.00,43859658074.25,704881.00
8-Oct-21,3925.00,3989.90,3900.00,3892.90,3943.00,3935.65,3947.83,3989.90,2600.05,2934339.00,11584283174.70,178433.00
7-Oct-21,3830.00,3899.00,3820.05,3810.90,3898.00,3892.90,3868.01,3981.75,2600.05,1647233.00,6371521151.00,100510.00
6-Oct-21,3836.00,3857.45,3795.00,3833.30,3813.80,3810.90,3830.18,3981.75,2600.05,1678154.00,6427634316.05,105524.00
5-Oct-21,3754.00,3840.00,3741.60,3773.30,3839.10,3833.30,3785.15,3981.75,2600.05,1877966.00,7108385858.15,107053.00
4-Oct-21,3724.80,3783.65,3707.45,3730.20,3779.00,3773.30,3762.58,3981.75,2600.05,1356860.00,5105290641.50,82301.00
1-Oct-21,3781.75,3810.00,3725.00,3775.55,3728.65,3730.20,3747.99,3981.75,2366.00,1578374.00,5915725343.65,132388.00
30-Sep-21,3805.00,3805.00,3750.10,3791.90,3778.70,3775.55,3773.28,3981.75,2366.00,2252412.00,8498981489.30,145940.00
29-Sep-21,3759.80,3806.00,3722.15,3779.15,3794.55,3791.90,3767.14,3981.75,2366.00,2489161.00,9377015958.30,138418.00
28-Sep-21,3850.00,3850.00,3751.25,3836.95,3777.05,3779.15,3784.75,3981.75,2366.00,2253075.00,8527330472.40,140925.00
27-Sep-21,3900.00,3904.00,3802.90,3871.30,3839.00,3836.95,3842.81,3981.75,2366.00,1673362.00,6430415744.60,126569.00
24-Sep-21,3890.00,3944.40,3855.00,3869.25,3878.75,3871.30,3908.95,3981.75,2302.60,2320754.00,9071718889.85,185756.00
23-Sep-21,3870.00,3879.00,3835.00,3862.15,3872.00,3869.25,3859.54,3981.75,2302.60,2003869.00,7734019886.40,131024.00
22-Sep-21,3862.50,3896.85,3852.45,3862.95,3856.75,3862.15,3873.71,3981.75,2302.60,1744067.00,6756003293.95,93000.00
21-Sep-21,3858.00,3871.55,3821.65,3823.50,3861.95,3862.95,3850.74,3981.75,2302.60,1568129.00,6038455605.45,99059.00
20-Sep-21,3809.00,3871.00,3807.85,3827.85,3820.05,3823.50,3837.22,3981.75,2302.60,2002008.00,7682147330.75,120832.00
17-Sep-21,3920.00,3945.00,3805.00,3903.30,3826.55,3827.85,3851.08,3981.75,2302.60,6477148.00,24944046353.10,155142.00
16-Sep-21,3930.00,3981.75,3892.10,3954.55,3903.05,3903.30,3931.95,3981.75,2302.60,2946666.00,11586139448.20,123851.00
15-Sep-21,3882.10,3980.00,3866.00,3885.90,3950.00,3954.55,3929.40,3980.00,2302.60,2461369.00,9671698399.65,120015.00
14-Sep-21,3849.95,3896.50,3825.00,3845.35,3880.10,3885.90,3873.73,3896.50,2302.60,1991188.00,7713316318.10,104679.00
13-Sep-21,3767.00,3852.40,3767.00,3791.40,3841.50,3845.35,3828.30,3877.60,2302.60,1691473.00,6475463794.90,109836.00
9-Sep-21,3789.70,3808.70,3765.00,3774.15,3793.00,3791.40,3787.10,3877.60,2283.35,1441148.00,5457774387.45,124377.00
8-Sep-21,3810.00,3815.00,3756.00,3815.90,3777.00,3774.15,3798.07,3877.60,2283.35,4147175.00,15751252747.10,122519.00
7-Sep-21,3864.00,3869.95,3808.25,3852.00,3823.85,3815.90,3834.63,3877.60,2283.35,1585039.00,6078043781.70,97123.00
6-Sep-21,3849.70,3877.60,3814.00,3842.05,3847.90,3852.00,3842.72,3877.60,2283.35,1723693.00,6623670538.95,111169.00
3-Sep-21,3825.00,3856.90,3804.55,3836.75,3835.00,3842.05,3830.31,3859.15,2228.00,1746812.00,6690825623.35,110739.00
2-Sep-21,3734.00,3859.15,3722.00,3714.95,3827.90,3836.75,3798.12,3859.15,2228.00,3403717.00,12927723346.45,147951.00
1-Sep-21,3796.00,3816.70,3707.00,3786.45,3715.00,3714.95,3742.07,3816.70,2228.00,2643336.00,9891548398.70,159880.00
31-Aug-21,3709.40,3804.10,3703.45,3701.30,3797.90,3786.45,3763.43,3804.10,2228.00,3207480.00,12071111288.25,118247.00
30-Aug-21,3715.00,3740.35,3687.60,3720.15,3709.00,3701.30,3717.61,3740.35,2228.00,2033114.00,7558326821.90,120886.00
27-Aug-21,3666.00,3729.50,3651.10,3671.85,3715.00,3720.15,3704.47,3729.50,2216.45,3944728.00,14613115000.85,146958.00
26-Aug-21,3660.00,3687.60,3647.90,3659.00,3655.00,3671.85,3666.49,3697.75,2216.45,1902533.00,6975627265.60,111272.00
